label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,045_neg_Cohort_1_1,046_neg_Cohort_1_2,047_neg_Cohort_1_3,048_neg_Cohort_1_4,049_neg_Cohort_1_5,053_neg_Cohort_2_1,054_neg_Cohort_2_2,055_neg_Cohort_2_3,056_neg_Cohort_2_4,057_neg_Cohort_2_5,058_neg_Cohort_2_6,061_neg_Cohort_3_1,062_neg_Cohort_3_2,063_neg_Cohort_3_3,064_neg_Cohort_3_4,065_neg_Cohort_3_5,066_neg_Cohort_3_6,069_neg_Cohort_4_1,070_neg_Cohort_4_2,071_neg_Cohort_4_3,072_neg_Cohort_4_4,073_neg_Cohort_4_5,074_neg_Cohort_4_6,077_neg_Cohort_5_1,078_neg_Cohort_5_2,079_neg_Cohort_5_3
g,268,268,17,300.048645,4.692,0.836578,,N-Acetyl-D-glucosamine 6-phosphate,C00357,C8H16NO9P,-1,1.118795,300.048645,353577.22,269996.72,360936.22,320242.38,468271.72,238356.88,162585.98,206623.16,286610.97,308699.75,261015.7,559554.38,567051.69,625142.5,809996.69,823348.44,622698.12,1583131.25,1685208,894274.25,1086091.88,617789.44,995796.88,768620.69,613828.12,727710.38
g,270,270,19,297.107727,3.488,0.732199,,N7-methyl-guanosine,445404,C11H16N5O5+,-1,0.513577,297.107727,65009.21,64399.35,66807.51,65848.23,67380.19,49272.01,47049.09,68980.92,62814.29,34193.35,51720.19,52125.15,49265.89,57251.38,51043.78,34009.53,34665.89,50251.03,65288.48,50828.18,60159.96,52161.66,65317.25,68780.49,37520.82,61261.74
g,272,272,5,296.099487,1.882,0.693893,,2��_-O-methyl-Guo,188959,C11H15N5O5,-1,1.855172,296.099487,8738.13,7450.12,8806.35,7150.53,14863.72,18098.62,7412.45,19671.31,19167.74,15271.65,10057.5,25329.28,22996.54,25549.15,29679.63,40056.85,27842.55,50192.61,39174.56,38633.91,34975.08,40490.34,39267.73,42633.13,54649.86,56002.59
g,273,273,5,296.099487,1.882,0.693893,,N-1-methyl-Guo,HMDB0001563,C11H15N5O5,-1,1.855172,296.099487,8738.13,7450.12,8806.35,7150.53,14863.72,18098.62,7412.45,19671.31,19167.74,15271.65,10057.5,25329.28,22996.54,25549.15,29679.63,40056.85,27842.55,50192.61,39174.56,38633.91,34975.08,40490.34,39267.73,42633.13,54649.86,56002.59
g,274,274,5,296.099487,1.882,0.693893,,N-2-methyl-Guo,HMDB0005862,C11H15N5O5,-1,1.855172,296.099487,8738.13,7450.12,8806.35,7150.53,14863.72,18098.62,7412.45,19671.31,19167.74,15271.65,10057.5,25329.28,22996.54,25549.15,29679.63,40056.85,27842.55,50192.61,39174.56,38633.91,34975.08,40490.34,39267.73,42633.13,54649.86,56002.59
g,275,275,21,296.081909,1.241,0.835487,,5'-Methylthioadenosine,C00170,C11H15N5O3S,-1,1.236855,296.081909,1198122.62,997789.5,1381722.38,1217998.5,1733128.75,2366737.75,2085792.12,2507328.5,2361938.75,2149448.5,1919152.88,1672036.62,1325444.75,1557778.62,1828562,2101862.75,1498695.25,1854138.75,2386767.25,2080760.88,1775993.38,1795459.38,2378531.5,1404677.5,1460666.62,1664511
g,276,276,21,296.084595,4.811,0.839741,,5'-Methylthioadenosine,C00170,C11H15N5O3S,-1,7.833417,296.084595,637470.12,500039.94,728486.25,603829.44,693783.88,648482.25,596157.19,765391.31,687585,703311.56,580696.69,739322.75,634537.81,657380.25,760763.38,703030.62,787384.5,428248.81,312663.5,334729.16,440321.75,416409.62,396206.78,348186.88,320370.5,310550
g,277,277,19,296.081818,6.722,0.786145,,5'-Methylthioadenosine,C00170,C11H15N5O3S,-1,1.546069,296.081818,7728.8,23363.91,25337.22,20769.93,29212.67,63363.8,30946.47,61156.28,49789.11,76201.46,60958.37,21216.24,62306.35,36377.24,50382.3,71006.89,49066.91,65093.79,56047.03,79444.08,73197.29,62453.85,50777.88,47645.54,70234.48,60515.7
g,278,278,5,294.051697,5.838,0.840813,,Aminoimidazole ribotide,C03373,C8H14N3O7P,-1,6.953512,294.051697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2987.55,0,7055.15,10930.61,4271.57,10450.51,80895.6,99525.16,115537.73
g,279,279,20,289.114777,6.295,0.840492,,N-(L-Arginino)succinate,C03406,C10H18N4O6,-1,2.005545,289.114777,37054.55,26793.28,63440.54,31165.73,22107.03,73112.12,63432.57,146278.36,164186.64,84327.76,100515.45,137804.94,112059.2,133365.39,199988.34,132796.84,119388.88,73840.23,57185.7,57940.17,93508.77,74523.53,69507.54,78100.73,92252.85,114644.29
g,281,281,12,288.119568,3.875,0.838119,,Ophthalmate,C21016,C11H19N3O6,-1,1.906554,288.119568,161059.2,147194.19,169414.33,166038.14,192479.98,88377.05,96707.19,90036.88,114092.66,84135.92,85262.15,34022.79,49777.29,35215.3,42892.46,39089.13,39028.7,296709.53,278010.25,286606.97,251075.89,251618.7,219296.97,438356.97,568046.25,539089.5
g,282,282,15,285.047241,3.02,0.838764,,5'-Phosphoribosylglycinamide,C03838,C7H15N2O8P,-1,7.280128,285.047241,20267.21,12290.03,21224.4,9864.99,20516.45,38275.48,29654.07,24701.17,20630.55,21981.31,16736.75,33507.68,20082.42,24618.74,16245.66,26972.82,25796.01,14194.62,23099.96,25718.68,9527.52,8390.62,23974.94,40869.91,25006.45,30234.94
g,284,284,3,285.051392,3.194,0.557904,,5'-Phosphoribosylglycinamide,C03838,C7H15N2O8P,-1,7.280128,285.051392,19237.74,11503.32,45747.55,15128.16,10078.31,34931.93,8567.06,17943.77,17176.79,27442.11,20487.4,27734.3,29300.77,21557.31,22843.09,46147.17,21862.54,41525.55,62333.9,48399.85,28355.81,40255.59,40861.31,74530.88,106247.38,29373.35
g,285,285,3,283.068481,3.424,0.833855,,Xanthosine,C01762,C10H12N4O6,-1,0.21562,283.068481,13221.44,56615.77,23227.26,50938.52,79013.68,22134.5,24114.69,9041.07,33087.21,25709.93,14481.17,22115.6,43711.54,31581.65,26095.8,53530.17,11357.52,53112.46,74767.5,102856.55,183879.42,372347.09,92468.27,11736.1,49037.67,80067.34
g,287,287,28,282.083954,2.402,0.840685,,Guanosine,C00387,C10H13N5O5,-1,1.514604,282.083954,3992339.5,4553437,3108821.25,4241375.5,5197111.5,4702586,3553018.75,3023186.5,3976636.5,3814059,2657356,2003514.62,2528518.75,2611393.75,2288455.5,3760829.75,3745361.5,3043538.75,5328803,5412213,5168024.5,9288552,5793918.5,2402690.75,2718046.5,2148062.25
g,288,288,29,281.089233,8.355,0.828973,,N-1-methyl-Ino,HMDB0002721,C11H14N4O5,-1,0.325707,281.089233,550896.81,531987.88,562389.56,614252.94,583963.69,440972.44,425628.09,304010.44,515461.38,528792.06,432692.28,440684.09,405308.06,416404.53,523112.66,488300.34,423395.44,383522.81,441296.62,259925.75,460375.97,566802,414910.41,266753.66,338208.88,324156.72
g,289,289,29,281.089233,8.355,0.828973,,N-7-methyl-Ino,HMDB0003950,C11H14N4O5,-1,0.325707,281.089233,550896.81,531987.88,562389.56,614252.94,583963.69,440972.44,425628.09,304010.44,515461.38,528792.06,432692.28,440684.09,405308.06,416404.53,523112.66,488300.34,423395.44,383522.81,441296.62,259925.75,460375.97,566802,414910.41,266753.66,338208.88,324156.72
g,290,290,29,281.089233,8.355,0.828973,,2��_-O-methyl-lno,10062287,C11H14N4O5,-1,0.325707,281.089233,550896.81,531987.88,562389.56,614252.94,583963.69,440972.44,425628.09,304010.44,515461.38,528792.06,432692.28,440684.09,405308.06,416404.53,523112.66,488300.34,423395.44,383522.81,441296.62,259925.75,460375.97,566802,414910.41,266753.66,338208.88,324156.72
g,291,291,13,280.103424,3.435,0.839664,,N-1-methyl-Ado,HMDB0003331,C11H15N5O4,-1,6.101225,280.103424,107660.45,403773.09,190341.31,340493.53,629103.75,52445.69,73538.18,26344.02,74516.45,82796.28,44864.07,22836.75,65916.53,64764.01,29592.45,64419.64,12695.14,67650.78,70748.69,102846.66,542489.81,271470.84,54694.16,36878.74,106120.46,155955.69
g,292,292,18,280.102875,3.738,0.838775,,N-1-methyl-Ado,HMDB0003331,C11H15N5O4,-1,8.062333,280.102875,66660.43,101753.3,72265.75,105990.75,223438.02,54625.84,41531.29,31784.21,58039.85,56746.31,36200.03,49517.96,55490.37,55990.67,54330.6,62070.86,42112.93,34280.01,50101.74,49376.88,89762.3,60760.26,31337.42,35782.4,44633.31,63006.17
g,293,293,16,275.016876,6.975,0.838965,,6-Phospho-D-gluconate,C00345,C6H13O10P,-1,1.775456,275.016876,40845.58,11115.15,5459.48,4298.67,22662.77,2198.12,2948.17,12064.38,24631.13,22735.07,2920.88,73517.1,136043.92,85650.98,129209.33,287073.25,55548.1,276495.16,41945.55,71045.2,100564.06,57379.23,118447.16,954319.69,1620514.12,2566747.25
